"vote_count","id","video","vote_average","title","popularity","poster_path","original_language","original_title","genre_ids","backdrop_path","adult","overview","release_date"
1171,383498,FALSE,8,"Deadpool 2",525.876302,"/to0spRl1CMDvyUbOnbb4fTk3VAd.jpg","en","Deadpool 2","28, 35, 878","/3P52oz9HPQWxcwHOwxtyrVV1LKi.jpg",FALSE,"Wisecracking mercenary Deadpool battles the evil and powerful Cable and other bad guys to save a boy's life.","2018-05-15"
4068,299536,FALSE,8.5,"Avengers: Infinity War",375.896125,"/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg","en","Avengers: Infinity War","12, 878, 14, 28","/bOGkgRGdhrBYJSLpXaxhXVstddV.jpg",FALSE,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.","2018-04-25"
1894,337167,FALSE,6,"Fifty Shades Freed",356.18426,"/jjPJ4s3DWZZvI4vw8Xfi4Vqa1Q8.jpg","en","Fifty Shades Freed","18, 10749","/9ywA15OAiwjSTvg3cBs9B7kOCBF.jpg",FALSE,"Believing they have left behind shadowy figures from their past, newlyweds Christian and Ana fully embrace an inextricable connection and shared life of luxury. But just as she steps into her role as Mrs. Grey and he relaxes into an unfamiliar stability, new threats could jeopardize their happy ending before it even begins.","2018-02-07"
10,510819,FALSE,3.5,"Dirty Dead Con Men",225.815427,"/r70GGoZ5PqqokDDRnVfTN7PPDtJ.jpg","en","Dirty Dead Con Men","28, 80, 18","/75RJi3yVZnZtVj4Kn1bYGzkhiEx.jpg",FALSE,"A cool and dangerous neo-noir crime film that revolves around the disturbed lives of two unlikely partners: Mickey Rady, a rogue undercover cop and Kook Packard, a smooth and charismatic con man. Together they rip off those operating outside of the law...for their own personal gain. But things go awry when one heist suck them deep into a city-wide conspiracy...","2018-03-30"
6350,284053,FALSE,7.4,"Thor: Ragnarok",219.047065,"/rzRwTcFvttcN1ZpX2xv4j3tSdJu.jpg","en","Thor: Ragnarok","28, 12, 14, 878, 35","/kaIfm5ryEOwYg8mLbq8HkPuM1Fo.jpg",FALSE,"Thor is imprisoned on the other side of the universe and finds himself in a race against time to get back to Asgard to stop Ragnarok, the prophecy of destruction to his homeworld and the end of Asgardian civilization, at the hands of an all-powerful new threat, the ruthless Hela.","2017-10-25"
5604,284054,FALSE,7.3,"Black Panther",207.924096,"/uxzzxijgPIY7slzFvMotPv8wjKA.jpg","en","Black Panther","28, 12, 14, 878","/6ELJEzQJ3Y45HczvreC3dg0GV5R.jpg",FALSE,"King T'Challa returns home from America to the reclusive, technologically advanced African nation of Wakanda to serve as his country's new leader. However, T'Challa soon finds that he is challenged for the throne by factions within his own country as well as without. Using powers reserved to Wakandan kings, T'Challa assumes the Black Panther mantel to join with girlfriend Nakia, the queen-mother, his princess-kid sister, members of the Dora Milaje (the Wakandan 'special forces') and an American secret agent, to prevent Wakanda from being dragged into a world war.","2018-02-13"
23,499772,FALSE,5,"Meet Me In St. Gallen",138.511118,"/kZJEQFk6eiZ9X2x70ve6R1dczus.jpg","tl","Meet Me In St. Gallen","18, 10749","/7tvwYJPostpjFybjOeygnBHVxrW.jpg",FALSE,"The story of Jesse and Celeste who meets at an unexpected time in their lives. They then realize their names are the same as the characters in the popular break-up romantic comedy, Celeste and Jesse Forever.","2018-02-07"
287,348350,FALSE,6.9,"Solo: A Star Wars Story",135.553451,"/3IGbjc5ZC5yxim5W0sFING2kdcz.jpg","en","Solo: A Star Wars Story","28, 12, 878","/96B1qMN9RxrAFu6uikwFhQ6N6J9.jpg",FALSE,"Through a series of daring escapades deep within a dark and dangerous criminal underworld, Han Solo meets his mighty future copilot Chewbacca and encounters the notorious gambler Lando Calrissian.","2018-05-23"
7261,269149,FALSE,7.7,"Zootopia",118.615192,"/sM33SANp9z6rXW8Itn7NnG1GOEs.jpg","en","Zootopia","16, 12, 10751, 35","/mhdeE1yShHTaDbJVdWyTlzFvNkr.jpg",FALSE,"Determined to prove herself, Officer Judy Hopps, the first bunny on Zootopia's police force, jumps at the chance to crack her first case - even if it means partnering with scam-artist fox Nick Wilde to solve the mystery.","2016-02-11"
8740,297762,FALSE,7.2,"Wonder Woman",117.300154,"/imekS7f1OuHyUP2LAiTEM0zBzUz.jpg","en","Wonder Woman","28, 12, 14, 10752, 878","/6iUNJZymJBMXXriQyFZfLAKnjO6.jpg",FALSE,"An Amazon princess comes to the world of Man in the grips of the First World War to confront the forces of evil and bring an end to human conflict.","2017-05-30"
13043,118340,FALSE,7.9,"Guardians of the Galaxy",115.298431,"/y31QB9kn3XSudA15tV7UWQ9XLuW.jpg","en","Guardians of the Galaxy","28, 878, 12","/bHarw8xrmQeqf3t8HpuMY7zoK4x.jpg",FALSE,"Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.","2014-07-30"
14853,293660,FALSE,7.5,"Deadpool",102.293576,"/inVq3FRqcYIRl2la8iZikYYxFNR.jpg","en","Deadpool","28, 12, 35","/n1y094tVDFATSzkTnFxoGZ1qNsG.jpg",FALSE,"Deadpool tells the origin story of former Special Forces operative turned mercenary Wade Wilson, who after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life.","2016-02-09"
